SESSION NAME:	MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	446
# OF AUDIO CLIPS:	34922
# OF AUDIO FILES:	7165


T R A C K  L I S T I N G
TRACK NAME:	MX a1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	GABO_S8_EP01_FOXTEL_HD_MASTER_CLEAN.new.02-07	   00:00:07:00	   00:00:12:23	   00:00:05:22	Unmuted
1       	2       	PRI_POSITIVE TASKING_Whisk Away_Melany Thompson (APRA)_NoShaker.wav.new.02-14	   00:00:17:17	   00:00:31:04	   00:00:13:12	Unmuted
1       	3       	Rising Tension Bake 02_Harp_Howe.wav.new.01-08	   00:01:42:15	   00:01:54:07	   00:00:11:17	Unmuted
1       	4       	GABO_START_SUN_018_AA_noDRMFX.wav.new.01-28	   00:02:16:23	   00:02:32:19	   00:00:15:21	Unmuted
1       	5       	GBBO 12_Sticky Parchment Paper v1.03 TIDEWAY_2mx.wav.new.04-06	   00:02:47:11	   00:02:53:02	   00:00:05:15	Unmuted
1       	6       	GBBO 12_Sticky Parchment Paper v1.03 TIDEWAY_Brass Short.wav.new.01-10	   00:02:57:17	   00:03:01:06	   00:00:03:13	Unmuted
1       	7       	Orchestral Winners and Losers 07_WWs_Howe.wav.new.01-11	   00:03:01:23	   00:03:17:24	   00:00:16:00	Unmuted
1       	8       	Titles 00_MIX_Howe.wav.new.01-06	   00:03:40:05	   00:04:12:06	   00:00:32:01	Unmuted
1       	9       	Energy of Baking 00_MIX_Howe.wav.new.01-24	   00:05:20:22	   00:06:23:13	   00:01:02:16	Unmuted
1       	10      	Holding Bake ALT 02_LOW STRINGS_Howe.wav.new.01-10	   00:06:45:07	   00:06:56:22	   00:00:11:15	Unmuted
1       	11      	GABO_Simon says be silly_108_DH_03 noDRM.wav.new.01-05	   00:07:00:04	   00:07:11:18	   00:00:11:14	Unmuted
1       	12      	GBBO_Caramelised Pizz V2.00_2mx_TH.wav.new.01-06	   00:07:23:06	   00:07:32:21	   00:00:09:15	Unmuted
1       	13      	GBBO_Caramelised Pizz v1.01_2mx_TH.wav.new.01-06	   00:07:36:01	   00:07:47:08	   00:00:11:07	Unmuted
1       	14      	GABO4_QUIRKY_M&M's_602_CT_noDRMnBSS.wav.new.01-05	   00:08:10:20	   00:08:19:07	   00:00:08:11	Unmuted
1       	15      	GABO_POS_JOURNEY_601_CT_10 noSTGnMARIMBA.wav.new.01-05	   00:09:14:15	   00:09:29:15	   00:00:15:00	Unmuted
1       	16      	GBBO_Rising Bread v1.02_2mx_TH.wav.new.01-05	   00:09:42:17	   00:09:53:24	   00:00:11:07	Unmuted
1       	17      	GBBO 11_The Happy Blender v1.04_2mx_TH.wav.new.01-08	   00:10:16:21	   00:10:30:14	   00:00:13:18	Unmuted
1       	18      	Light Baking 00_MIX_Howe.wav.new.01-05	   00:10:32:14	   00:10:49:11	   00:00:16:22	Unmuted
1       	19      	Happy Pizz 00_MIX_Howe.wav.new.01-17	   00:12:18:21	   00:12:47:04	   00:00:28:08	Unmuted
1       	20      	GBBO_Pear Shaped v1.04_2mx_TH.wav.new.01-05	   00:13:03:02	   00:13:17:01	   00:00:13:24	Unmuted
1       	21      	GBBO_Pear Shaped_v1.04_Strings Shorts_TH.wav.new.01-08	   00:13:19:01	   00:13:24:16	   00:00:05:14	Unmuted
1       	22      	GBBO14_Baked Mushroom Starter v1.03_TIDEWAY_String Short.wav.new.01-11	   00:13:47:04	   00:13:54:07	   00:00:07:03	Unmuted
1       	23      	GBBO14_Baked Mushroom Starter v1.03_TIDEWAY_Ww Short.wav.new.01-07	   00:13:58:24	   00:14:03:18	   00:00:04:18	Unmuted
1       	24      	PRI_TASKING POSITIVE_Splendid Sorbet_Nick Brown_(APRA)_Strings.wav.new.02-05	   00:14:40:05	   00:14:57:23	   00:00:17:18	Unmuted
1       	25      	PRI_TASKING POSITIVE_Splendid Sorbet_Nick Brown_(APRA)_Strings.wav.new.03-14	   00:14:58:06	   00:15:19:10	   00:00:21:04	Unmuted
