SESSION NAME:,MS0811 GABO S9E01 Music Cue Sheet Domestic
SAMPLE RATE:,48000.000000
BIT DEPTH:,24-bit
SESSION START TIMECODE:,00:00:00:00
TIMECODE FORMAT:,25 Frame

No.,Name,Timecode In,Timecode Out,Duration
1,GABO_S8_EP01_FOXTEL_HD_MASTER_CLEAN.new,00:00:07:00,00:00:12:23,00:00:05:23
2,PRI_POSITIVE TASKING_Whisk Away_Melany Thompson (APRA)_NoShaker.wav.new,00:00:14:05,00:00:31:04,00:00:16:24
3,FTX-heart-of-the-fight-full.new,00:00:50:10,00:01:11:16,00:00:21:06
4,FTX-heart-of-the-fight-full.new,00:01:22:08,00:01:36:17,00:00:14:09
5,Rising Tension Bake,00:01:33:12,00:01:54:16,00:00:21:04
6,GBBO Flurry Bake EXTENDED v4.05,00:01:50:07,00:02:10:20,00:00:20:13
7,Rising Tension Bake 01_Cymbals_Howe.wav.new,00:01:51:03,00:01:58:11,00:00:07:08
8,GBBO Flurry Bake EXTENDED v4.05,00:01:52:06,00:02:11:07,00:00:19:01
9,GABO_START_MAGIC_942_DH_FULL.wav.new,00:02:10:21,00:02:32:19,00:00:21:23
10,Elefat107_Trk8_Cymbal_H_Sam_Music-06.,00:02:14:17,00:02:26:17,00:00:12:00
11,Rising Tension Bake Xmas_CYMBALS_Howe.wav.new,00:02:15:21,00:02:21:03,00:00:05:07
12,GBBO Light Busy Tension_Hi Perc & Cymbals_Howe.wav.new,00:02:15:24,00:02:19:05,00:00:03:06
13,GABO_START_SUN_018_AA_noDRMFX.wav.new,00:02:16:23,00:02:32:19,00:00:15:21
14,Happy Pizz,00:02:30:00,00:02:44:15,00:00:14:15
15,GBBO 12_Sticky Parchment Paper v1.03 TIDEWAY,00:02:47:11,00:03:01:06,00:00:13:20
16,Orchestral Winners and Losers,00:03:01:23,00:03:43:08,00:00:41:10
17,Titles 00_MIX_Howe.wav.new,00:03:40:05,00:04:12:06,00:00:32:01
18,ring-the-bell-04.,00:04:25:13,00:05:00:18,00:00:35:05
19,Elefat107_Trk8_Cymbal_H_Sam_Music-09.,00:04:57:02,00:05:09:02,00:00:12:00
20,ring-the-bell-pianoanddrones-02.,00:04:58:22,00:05:00:21,00:00:01:24
21,Energy of Baking 00_MIX_Howe.wav.new,00:05:20:22,00:06:23:13,00:01:02:16
22,Rising Tension Bake Xmas_CYMBALS_Howe.wav.new,00:06:11:03,00:06:16:22,00:00:05:19
23,GBBO Light Busy Tension_Hi Perc & Cymbals_Howe.wav.new,00:06:11:18,00:06:18:04,00:00:06:11
24,Holding Bake ALT 02_LOW STRINGS_Howe.wav.new,00:06:45:07,00:06:56:22,00:00:11:15
25,GABO_Simon says be silly_108_DH_03 noDRM.wav.new,00:07:00:04,00:07:11:18,00:00:11:14
26,GBBO_Caramelised Pizz,00:07:23:06,00:07:47:08,00:00:24:02
27,GABO4_QUIRKY_M&M's_602_CT_no,00:08:07:03,00:08:19:07,00:00:12:04
28,GBBO 12_Tutti Fruitti v1.02 TIDEWAY_2mx.wav.new,00:08:19:09,00:08:36:02,00:00:16:18
29,GBBO_Cinnamon Twist v1.02_2mx_TH.wav.new,00:08:54:21,00:09:07:09,00:00:12:13
30,GABO_POS_JOURNEY_601_CT_10 noSTGnMARIMBA.wav.new,00:09:14:15,00:09:29:15,00:00:15:00
31,GBBO_Rising Bread v1.02_2mx_TH.wav.new,00:09:42:17,00:09:53:24,00:00:11:07
32,GBBO 11_The Happy Blender v1.04_2mx_TH.wav.new,00:10:16:21,00:10:30:14,00:00:13:18
33,Light Baking 00_MIX_Howe.wav.new,00:10:32:14,00:10:49:11,00:00:16:22
34,Happy Pizz 00_MIX_Howe.wav.new,00:12:18:21,00:12:47:04,00:00:28:08
35,GBBO_Pear Shaped,00:13:03:02,00:13:27:11,00:00:24:09
36,GBBO14_Baked Mushroom Starter v1.03_TIDEWAY,00:13:47:02,00:14:16:08,00:00:29:06
37,PRI_TASKING POSITIVE_Splendid Sorbet_Nick Brown_(APRA),00:14:40:05,00:15:19:23,00:00:39:18
38,GBBO Flurry Bake EXTENDED v4.05,00:15:23:00,00:16:21:09,00:00:58:09
39,GABO_POSITIVE_MARVELOUS_019_AA_noSTR.wav.new,00:16:15:18,00:16:46:24,00:00:31:06
40,Wonder,00:17:00:01,00:17:10:17,00:00:10:16
41,Ticking Tarts 00_MIX_Howe.wav.new,00:17:17:02,00:17:32:21,00:00:15:19
42,Something Pizz,00:17:36:02,00:18:38:21,00:01:02:19
43,Piano Sparkle 00_MIX_Howe.wav.new,00:18:48:01,00:18:59:00,00:00:10:24
44,Elefat107_Trk8_Cymbal_H_Sam_Music-07.,00:18:55:12,00:19:07:12,00:00:12:00
45,Pastry Countdown 08_Howe_Short Strings Lo.wav.new,00:19:04:11,00:19:14:22,00:00:10:11
46,GBBO Light Busy Tension_Hi Perc & Cymbals_Howe.wav.new,00:19:12:10,00:19:18:22,00:00:06:12
47,GBBO 12_Comedy Batter v1.01 TIDEWAY,00:19:28:04,00:19:43:14,00:00:15:10
48,GABO4_QUIRKY_RUSH HOUR_603_CT,00:19:48:08,00:20:18:05,00:00:29:22
49,GABO_POSITIVE_BRIGHT_009_AA_07 noSTR.wav.new,00:20:40:13,00:20:58:24,00:00:18:11
50,GBBO Light Busy Tension_Hi Perc & Cymbals_Howe.wav.new,00:20:51:14,00:20:57:10,00:00:05:21
51,Piano Sparkle,00:21:09:24,00:21:34:13,00:00:24:14
52,Light Touch 00_Howe_2mx.wav.new,00:21:34:13,00:21:48:05,00:00:13:17
